Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Peregrine Falcon,Falco,peregrinus,Cape May,10/5/1979,Cape May, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
Royal Tern,Sterna,maxima,Cape May,10/5/1979,Cape May, ,New Jersey,United States,North America,  ,  ,  ,  ,  ,  
American White Pelican,Pelecanus,erythrorhynchos,Grand Teton NP,8/13/1980, ,,Wyoming,United States,North America,  ,  ,  ,  ,  ,  
Black Oystercatcher,Haematopus,bachmani,Point Lobos NS,9/5/1980, ,Point Lobos NS,California,United States,North America,  ,  ,  ,  ,  ,  
California Gull,Larus,californicus,Point Lobos NS,9/5/1980, ,Point Lobos NS,California,United States,North America,  ,  ,  ,  ,  ,  
Nuttall's Woodpecker,Picoides,nuttallii,Lake Berryessa,9/13/1980, ,Lake Berryessa,California,United States,North America,  ,  ,  ,  ,  ,  
Oak Titmouse,Baeolophus,inornatus,Lake Berryessa,9/13/1980, ,Lake Berryessa,California,United States,North America,  ,  ,  ,  ,  ,  
California Thrasher,Toxostoma,redivivum,Stanford Campus,10/1/1980, Palo Alto,,California,United States,North America,  ,  ,  ,  ,  ,  
Bushtit,Psaltriparus,minimus,480 E. 19th Ave.,10/15/1980,San Mateo, ,California,United States,North America,  ,  ,  ,  ,  ,  
Black-necked Stilt,Himantopus,mexicanus,Foster City,11/1/1980,Foster City, ,California,United States,North America,  ,  ,  ,  ,  ,  
Sanderling,Calidris,alba,S. M. County coast,11/1/1980, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Surf Scoter,Melanitta,perspicillata,Coyote Point SP,12/1/1980, ,Coyote Point SP,California,United States,North America,  ,  ,  ,  ,  ,  
White-winged Scoter,Melanitta,fusca,Coyote Point SP,12/1/1980, ,Coyote Point SP,California,United States,North America,  ,  ,  ,  ,  ,  
Long-billed Dowitcher,Limnodromus,scolopaceus,Coyote Point SP,12/1/1980, ,Coyote Point SP,California,United States,North America,  ,  ,  ,  ,  ,  
Bonaparte's Gull,Larus,philadelphia,Coyote Point SP,12/1/1980, ,Coyote Point SP,California,United States,North America,  ,  ,  ,  ,  ,  
Loggerhead Shrike,Lanius,ludovicianus,California,1/1/1981, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Green-throated Carib,Eulampis,holosericeus,Guadeloupe,7/21/1981, , , ,Guadeloupe,North America,,  ,  ,  ,  ,  
