Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Pallid Spinetail,Cranioleuca,pallida,Itapemirim Park,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sooretama Slaty-Antshrike,Thamnophilus,ambiguus,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Plumbeous Antvireo,Dysithamnus,plumbeus,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-cheeked Gnateater,Conopophaga,melanops,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Bare-throated Bellbird,Procnias,nudicollis,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Wied's Tyrant-Manakin,Neopelma,aurifrons,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Eye-ringed Tody-Tyrant,Hemitriccus,orbitatus,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Bran-colored Flycatcher,Myiophobus,fasciatus,Itapemirim Park,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Masked Water-Tyrant,Fluvicola,nengeta,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Streamer-tailed Tyrant,Gubernetes,yetapa,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Grayish Mourner,Rhytipterna,simplex,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Tropical Kingbird,Tyrannus,melancholicus,Itapemirim Park,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Crested Becard,Pachyramphus,validus,Itapemirim Park,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sharpbill,Oxyruncus,cristatus,Caetes Property,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-winged Swallow,Tachycineta,albiventer,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Southern Rough-winged Swallow,Stelgidopteryx,ruficollis,Itapemirim Park,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-eyed Vireo,Vireo,olivaceus,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sayaca Tanager,Thraupis,sayaca,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-green Grosbeak,Caryothraustes,canadensis,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-rumped Cacique,Cacicus,haemorrhous,Cafundo Preserve,10/31/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black Jacobin,Florisuga,fuscus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Frilled Coquette,Lophornis,magnificus,Monte Verde Golf Resort,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Glittering-bellied Emerald,Chlorostilbon,aureoventris,Monte Verde Golf Resort,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-throated Hummingbird,Leucochloris,albicollis,Itatiaia NP,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Brazilian Ruby,Clytolaema,rubricauda,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Crescent-chested Puffbird,Malacoptila,striata,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Spot-billed Toucanet,Selenidera,maculirostris,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Channel-billed Toucan,Ramphastos,vitellinus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-barred Piculet,Picumnus,cirratus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-fronted Woodpecker,Melanerpes,flavifrons,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-browed Foliage-gleaner,Anabacerthia,amaurotis,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Pale-browed Treehunter,Cichlocolaptes,leucophrus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Buff-fronted Foliage-gleaner,Philydor,rufus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Ochre-breasted Foliage-gleaner,Philydor,lichtensteini,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sharp-tailed Streamcreeper,Lochmias,nematura,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Olivaceous Woodcreeper,Sittasomus,griseicapillus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Streak-capped Antwren,Terenura,maculata,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Shrike-like Cotinga,Laniisoma,elegans,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Hooded Berryeater,Carpornis,cucullatus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Cinnamon-vented Piha,Lipaugus,lanioides,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Blue Manakin,Chiroxiphia,caudata,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Pin-tailed Manakin,Ilicura,militaris,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sooty Tyrannulet,Serpophaga,nigricans,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Oustalet's Tyrannulet,Phylloscartes,oustaleti,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rough-legged Tyrannulet,Phyllomyias,burmeisteri,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Greenish Tyrannulet,Phyllomyias,virescens,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Euler's Flycatcher,Lathrotriccus,euleri,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Long-tailed Tyrant,Colonia,colonus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Gray-hooded Attila,Attila,rufus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sirystes,Sirystes,sibilator,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Short-crested Flycatcher,Myiarchus,ferox,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Chestnut-crowned Becard,Pachyramphus,castaneus,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-legged Thrush,Platycichla,flavipes,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-headed Tanager,Hemithraupis,ruficapilla,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-goggled Tanager,Trichothraupis,melanops,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Azure-shouldered Tanager,Thraupis,cyanoptera,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Golden-chevroned Tanager,Thraupis,ornata,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Gilt-edged Tanager,Tangara,cyanoventris,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Burnished-buff Tanager,Tangara,cayana,Caetes Property,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Shiny Cowbird,Molothrus,bonariensis,Monte Verde Golf Resort,11/1/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-breasted Hermit,Glaucis,hirsuta,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sombre Hummingbird,Campylopterus,cirrochloris,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-vented Violet-ear,Colibri,serrirostris,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Violet-capped Woodnymph,Thalurania,glaucopis,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Versicolored Emerald,Agyrtria,versicolor,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Saffron Toucanet,Baillonius,bailloni,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-eared Woodpecker,Veniliornis,maculifrons,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous Hornero,Furnarius,rufus,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-capped Spinetail,Synallaxis,ruficapilla,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Scaled Woodcreeper,Lepidocolaptes,squamatus,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Ferruginous Antbird,Drymophila,ferruginea,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-bibbed Antbird,Myrmeciza,loricata,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow Tyrannulet,Capsiempis,flaveola,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Planalto Tyrannulet,Phyllomyias,fasciatus,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Drab-breasted Bamboo-Tyrant,Hemitriccus,diops,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-lored Tody-Flycatcher,Todirostrum,poliocephalum,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Large-headed Flatbill,Ramphotrigon,megacephala,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-bellied Thrush,Turdus,rufiventris,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Pale-breasted Thrush,Turdus,leucomelas,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Violaceous Euphonia,Euphonia,violacea,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Double-collared Seedeater,Sporophila,caerulescens,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Screaming Cowbird,Molothrus,rufoaxillaris,Brazil,11/2/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Solitary Tinamou,Tinamus,solitarius,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rusty-margined Guan,Penelope,superciliaris,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-billed Curassow,Crax,blumenbachii,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Scaled Dove,Columbina,squammata,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Guira Cuckoo,Guira,guira,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Tawny-browed Owl,Pulsatrix,koeniswaldiana,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Least Pygmy-Owl,Glaucidium,minutissimum,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Pauraque,Nyctidromus,albicollis,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Swallow-wing,Chelidoptera,tenebrosa,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-stained Woodpecker,Veniliornis,affinis,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Campo Flicker,Colaptes,campestris,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Streaked Xenops,Xenops,rutilans,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-capped Foliage-gleaner,Philydor,atricapillus,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Buff-throated Woodcreeper,Xiphorhynchus,guttatus,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-flanked Antwren,Myrmotherula,axillaris,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-headed Berryeater,Carpornis,melanocephalus,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-headed Manakin,Pipra,rubrocapilla,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Gray Elaenia,Myiopagis,caniceps,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Eared Pygmy-Tyrant,Myiornis,auricularis,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Olivaceous Flatbill,Rhynchocyclus,olivaceus,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Dusky-capped Flycatcher,Myiarchus,tuberculifer,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-crowned Tityra,Tityra,inquisitor,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Thrush-like Wren,Campylorhynchus,turdinus,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Turquoise Tanager,Tangara,mexicana,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Chopi Blackbird,Gnorimopsar,chopi,Linhares Reserve,11/3/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-necked Hawk,Leucopternis,lacernulata,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-and-white Hawk-Eagle,Spizastur,melanoleucus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Blue-throated Parakeet,Pyrrhura,cruentata,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-eared Parakeet,Pyrrhura,leucotis,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Pearly-breasted Cuckoo,Coccyzus,euleri,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Long-tailed Potoo,Nyctibius,aethereus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Gray-rumped Swift,Chaetura,cinereiventris,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Minute Hermit,Phaethornis,idaliae,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-chinned Sapphire,Hylocharis,cyanus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-necked Aracari,Pteroglossus,aracari,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-throated Woodpecker,Piculus,flavigula,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Blond-crested Woodpecker,Celeus,flavescens,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Robust Woodpecker,Campephilus,robustus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-eyed Foliage-gleaner,Automolus,leucophthalmus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Plain-brown Woodcreeper,Dendrocincla,fuliginosa,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sepia-capped Flycatcher,Leptopogon,amaurocephalus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-winged Becard,Pachyramphus,polychopterus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-capped Becard,Pachyramphus,marginatus,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-backed Tanager,Hemithraupis,flavicollis,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Hooded Tanager,Nemosia,pileata,Linhares Reserve,11/4/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Cocoi Heron,Ardea,cocoi,Brazil,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-eyed Thornbird,Phacellodomus,erythrophthalmus,Brazil,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Fork-tailed Flycatcher,Tyrannus,savana,Brazil,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Masked Yellowthroat,Geothlypis,aequinoctialis,Brazil,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Ruby-crowned Tanager,Tachyphonus,coronatus,Brazil,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Chestnut-bellied Seed-Finch,Oryzoborus,angolensis,Brazil,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Hooded Siskin,Carduelis,magellanica,swamp to find the mysterious antbird,11/5/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Kelp Gull,Larus,dominicanus,Ubatuba,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Plumbeous Pigeon,Columba,plumbea,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Lesser Swallow-tailed Swift,Panyptila,cayennensis,Jonas' hummingbird feeders,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Saw-billed Hermit,Ramphodon,naevius,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-throated Mango,Anthracothorax,nigricollis,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Festive Coquette,Lophornis,chalybeus,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Glittering-throated Emerald,Polyerata,fimbriata,Jonas' hummingbird feeders,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Amethyst Woodstar,Calliphlox,amethystina,Jonas' hummingbird feeders,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Ochre-collared Piculet,Picumnus,temminckii,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Lesser Woodcreeper,Lepidocolaptes,fuscus,Jonas' hummingbird feeders,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Spot-backed Antshrike,Hypoedaleus,guttatus,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Spot-breasted Antvireo,Dysithamnus,stictothorax,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Star-throated Antwren,Myrmotherula,gularis,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Unicolored Antwren,Myrmotherula,unicolor,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Scaled Antbird,Drymophila,squamata,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Buff-throated Purpletuft,Iodopleura,pipra,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Gray-capped Tyrannulet,Phyllomyias,griseocapilla,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Cattle Tyrant,Machetornis,rixosus,Ubatuba,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Variegated Flycatcher,Empidonomus,varius,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Brazilian Tanager,Ramphocelus,bresilius,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Green-headed Tanager,Tangara,seledon,Fazenda Angelim,11/6/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Brown Tinamou,Crypturellus,obsoletus,Folha Seca,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-collared Swift,Streptoprocne,zonaris,Folha Seca,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Slaty Bristlefront,Merulaxis,ater,Folha Seca,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sao Paulo Tyrannulet,Phylloscartes,paulistus,Fazenda Capricorni,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Bay-ringed Tyrannulet,Phylloscartes,sylviolus,Fazenda Capricorni,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Whiskered Flycatcher,Myiobius,barbatus,Folha Seca,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Olive-green Tanager,Orthogonys,chloricterus,Folha Seca,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Chestnut-bellied Euphonia,Euphonia,pectoralis,Folha Seca,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Red-necked Tanager,Tangara,cyanocephala,Fazenda Capricorni,11/7/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-thighed Kite,Harpagus,diodon,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Limpkin,Aramus,guarauna,Ubatuba,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Blue-winged Parrotlet,Forpus,xanthopterygius,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-hooded Antwren,Formicivora,erythronotos,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Fork-tailed Tody-Tyrant,Hemitriccus,furcatus,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Cliff Flycatcher,Hirundinea,ferruginea,Itatiaia NP,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Crested Black-Tyrant,Knipolegus,lophotes,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Flame-crested Tanager,Tachyphonus,cristatus,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Palm Tanager,Thraupis,palmarum,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Fawn-breasted Tanager,Pipraeidea,melanonota,Itatiaia NP,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Swallow-Tanager,Tersina,viridis,Brazil,11/8/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black Hawk-Eagle,Spizaetus,tyrannus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Plovercrest,Stephanoxis,lalandi,Itatiaia NP,11/9/2010, , , ,Brazil,South America,WOW!!,  ,  ,  ,  ,  
White-spotted Woodpecker,Veniliornis,spilogaster,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Yellow-browed Woodpecker,Piculus,aurulentus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Chicli Spinetail,Synallaxis,spixi,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Gray-bellied Spinetail,Synallaxis,cinerascens,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Itatiaia Thistletail,Oreophylax,moreirae,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Sharp-billed Treehunter,Heliobletus,contaminatus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Planalto Woodcreeper,Dendrocolaptes,platyrostris,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Large-tailed Antshrike,Mackenziaena,leachii,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Variable Antshrike,Thamnophilus,caerulescens,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-backed Antvireo,Dysithamnus,xanthopterus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-tailed Antbird,Drymophila,genei,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Mouse-colored Tapaculo,Scytalopus,speluncae,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Swallow-tailed Cotinga,Phibalura,flavirostris,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Black-and-gold Cotinga,Tijuca,atra,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Olivaceous Elaenia,Elaenia,mesoleuca,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Highland Elaenia,Elaenia,obscura,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-crested Tyrannulet,Serpophaga,subcristata,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Serra do Mar Tyrannulet,Phylloscartes,difficilis,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Mottle-cheeked Tyrannulet,Phylloscartes,ventralis,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Blue-billed Black-Tyrant,Knipolegus,cyanirostris,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Velvety Black-Tyrant,Knipolegus,nigerrimus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Swainson's Flycatcher,Myiarchus,swainsoni,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Rufous-crowned Greenlet,Hylophilus,poicilotis,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
White-rimmed Warbler,Basileuterus,leucoblepharus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Diademed Tanager,Stephanophorus,diadematus,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Brassy-breasted Tanager,Tangara,desmaresti,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
Bay-chested Warbling-Finch,Poospiza,thoracica,Itatiaia NP,11/9/2010, , , ,Brazil,South America,  ,  ,  ,  ,  ,  
